a1	【A1】adj.第一等的;最佳的;头等的
abidance/by	【abidance&nbspby】固守
abidance/by/rules	【abidance&nbspby&nbsprules】守规，守法
abidance/in	【abidance&nbspin】居住
abide	【abide】(abode)v.住在;保持;遵守;等候;忍受
abide/by	【abide&nbspby】遵守，依从，坚持
abiding	【abiding】adj.持续的;持久的;不变的
abidingly	【abidingly】adv.持续地;不变地
abiding/place	【abiding&nbspplace】n.住宅;寓所;居住地
ability	【ability】n.能力，本事，才能，技能;【-ability】可能性
ability/for	【ability&nbspfor】…的能力
abio	【abio-】pref.无生命;无机
abiochemistry	【abiochemistry】n.无机化学;无生化学
abiogenesis	【abiogenesis】n.自然发生论
abiogenetic	【abiogenetic】adj.自然发生的，偶发的
abiogenist	【abiogenist】n.自然发生论者
abiogenous	【abiogenous】adj.自然发生的
abiogeny	【abiogeny】n.=abiogenesis
abiosis	【abiosis】n.无生命状态
abiotic	【abiotic】adj.不能生活的;无生命的
abiotrophy	【abiotrophy】n.营养衰竭;生活力缺失
a/bird/in/the/hand/is/worth/two/in/the/bush	【a&nbspbird&nbspin&nbspthe&nbsphand&nbspis&nbspworth&nbsptwo&nbspin&nbspthe&nbspbush】n.两鸟在林不如一鸟在手
abirritant	【abirritant】adj.减轻刺激的;缓和刺激的
abirritate	【abirritate】v.镇静;消除刺激
abirritation	【abirritation】n.减轻刺激作用;缓和作用
abirritative	【abirritative】adj.镇静的;消除紧张的
abject	【abject】adj.落魄的;卑鄙的
abjection	【abjection】n.落魄;卑鄙
abjective	【abjective】adj.不幸的;令人沮丧的;无耻的
abjectly	【abjectly】adv.悲惨地;卑鄙地
abject/poverty	【abject&nbsppoverty】赤贫
abjuration	【abjuration】n.断绝;宣誓放弃
abjure	【abjure】vt.发誓戒绝;公开放弃(主义，信仰)
abjure/the/realm	【abjure&nbspthe&nbsprealm】宣誓永不回国
abkhazian	【Abkhazian】n.阿布哈西亚人;阿布哈西亚语;adj.阿布哈西亚的
abl	【abl.】adj.=ablative
ablactate	【ablactate】v.使断奶
ablactation	【ablactation】n.断奶
ablare	【ablare】adj.adv.喧哗;吵闹(的，地)
ablast	【A-blast】n.原子弹爆炸
ablate	【ablate】vt.切除;使融化;摩损;vi.融化
ablation	【ablation】n.除去;部份切除;融化
ablatival	【ablatival】adj.夺格的(拉丁文法的)
ablative	【ablative】n.adj.夺格的(拉丁文法的)
ablative/absolute	【ablative&nbspabsolute】夺格独立句
ablative/case	【ablative&nbspcase】夺格
ablator	【ablator】n.烧蚀挡板(太空船外的防热物质)
ablaut	【ablaut】n.[言]母音变换
ablaze	【ablaze】adj.adv.烧起，炽燃
able	【able】adj.有才能的，能干的;【-able】可…的;能…的
able/bodied	【able&nbspbodied】adj.强壮的
able/bodied/man	【able&nbspbodied&nbspman】n.壮丁
able/bodied/seaman	【able&nbspbodied&nbspseaman】n.熟练之水手;二等水兵
ablegate	【ablegate】n.天主教教宗为某持殊任务而派遣外地之特使
able/minded	【able&nbspminded】adj.能干的
able/mindedness	【able&nbspmindedness】n.能干
ablepharous	【ablepharous】adj.没有眼脸的
ablepsia	【ablepsia】n.=ablepsy
ablepsy	【ablepsy】n.失明;视觉缺失
ablings	【ablings】adj.也许;大概
ablins	【ablins】adj.=&nbspablings
abloom	【abloom】adj.adv.花开的;盛开灺
abluent	【abluent】n.adj.洗涤的;洗涤剂
ablush	【ablush】adj.adv.赧然;脸红(的，地)
ablution	【ablution】n.斋戒沐浴;洗净;净水
ablutionary	【ablutionary】adj.斋戒沐浴的;洗净的;洗礼的
ably	【ably】adv.能干地;巧妙地
abm	【ABM】n.=antiballistic&nbspmissile反道弹飞弹
abmho	【abmho】n.绝对姆欧
abnaki	【Abnaki】n.艾布那基族;艾布那基人(语)
abnegate	【abnegate】vt.拒绝;於弃
abnegation	【abnegation】n.拒绝;於弃
abnegator	【abnegator】n.拒绝者;弃权者
abnormal	【abnormal】adj.异常的;变态的
abnormalcy	【abnormalcy】n.=abnormality
abnormalism	【abnormalism】n.异常;变态性;反常性
abnormality	【abnormality】n.反常的，畸形，不规则
abnormally	【abnormally】adv.异常的，例外地，变态地
abnormal/psychology	【abnormal&nbsppsychology】n.变态心理学
abnormity	【abnormity】n.异常，不规则，畸形
abo	【abo】adj.[蔑]土佬(澳洲土着)
aboard	【aboard】adv.在(船，车，飞机)上
aboardage	【aboardage】n.两船接近於平行时的相撞
abode	【abode】n.住宅，家;v.p.pp.=abide
abo/group	【ABO&nbspgroup】n.(遗传)血液型原体(抗原群)
abohm	【abohm】n.绝对欧姆;电磁欧姆
aboideau	【aboideau】n.低地防潮之堤坝
aboil	【aboil】adj.adv.沸腾(的，地)
aboiler	【A-boiler】n.原子反应器加热用的锅炉
abolish	【abolish】vt.取消，废除
abolishable	【abolishable】adj.可废除的
abolishment	【abolishment】n.废止，撤废
abolition	【abolition】n.取消，废除;废除黑奴制度
abolitionism	【abolitionism】n.废除(黑奴)论
abolitionist	【abolitionist】n.废除(黑奴)论者
abolitionize	【abolitionize】v.使赞成废除(黑奴)制度
abomasa	【abomasa】pl.=abomasum
abomasum	【abomasum】n.皱胃(反刍动物的第四胃)
abomasus	【abomasus】=abomasum
abomb	【A-bomb】n.原子弹&nbsp=atomic&nbspbomb
abominable	【abominable】adj.讨厌的;恶劣的
abominably	【abominably】adv.可恶地，可恨地
abominate	【abominate】vt.厌恶，痛恨
abomination	【abomination】n.厌恶，憎恨，可恶的事物
abominator	【abominator】n.憎恶者;嫌恶者
aborad	【aborad】adv.离口侧;对口侧
aboral	【aboral】adj.离口的;对口的
aborally	【aborally】adv.离口地;对口地
aboriginal	【aboriginal】adj.原来的;土着的;n.原住民，土着;原有的动植物
aboriginal/dance	【aboriginal&nbspdance】n.山地舞
aboriginality	【aboriginality】n.原始状态;本土性
aboriginal/tribesman	【aboriginal&nbsptribesman】n.山胞
aborigines	【aborigines】n.pl.原住民，土人;土生的动植物
aboriginially	【aboriginially】adv.从最初;原来
aborning	【aborning】adv.在生产中
abort	【abort】vi&nbsp流产;堕胎;(使)失败
abortarium	【abortarium】n.[美]堕胎医院
aborted	【aborted】adj.流产的;早产的;发育不建全的
aborticide	【aborticide】n.打胎;堕胎药
abortifacient	【abortifacient】adj.促使流产的;引起堕胎的
abortion	【abortion】n.流产;堕胎;夭折;失败
abortionist	【abortionist】n.施行堕胎术者
abortive	【abortive】adj.流产的，早产的，失败的
abortive/enterprise	【abortive&nbspenterprise】失败的事业
abortively	【abortively】adv.流产地;失败地
abortus	【abortus】n.流产儿
abought	【abought】p.pp.=aby(e)
aboulia	【aboulia】n.意志力丧失
abound	【abound】vi.丰富，充满
abound/in	【abound&nbspin】富於
abounding	【abounding】adj.丰富的;大量的
about	【about】adv.pre.关於;在周围;附近;大约
about/face	【about&nbspface】n.向後转，变挂，改变主意;vi.向後转，转向
aboutship	【about-ship】v.[航]强风;改变航向
aboutsledge	【about-sledge】n.大铁槌
aboutturn	【about-turn】n.向後转
above	【above】adv.pre.在…上面;超过;以上;多过;n.上方，天上
above/all	【above&nbspall】尤其是;最重要的是
aboveboard	【aboveboard】adj.adv.率直的;正大的，光明磊落的
abovecited	【above-cited】adj.上文所引用的
abovedeck	【abovedeck】adv.光明磊落地;坦诚地;在甲板上
aboveground	【aboveground】adj.在地面上;未死的
above/mentioned	【above&nbspmentioned】adj.上述的;前述的
above/norm	【above&nbspnorm】adj.限额以上的
above/oneself	【above&nbsponeself】自大;得意忘形
abovestairs	【abovestairs】n.主卧房;楼上房间;adj.在楼上的;adv.在楼上
abp	【abp.】n.=archbishop
abr	【abr.】[略]abridge;abridged
abracadabra	【abracadabra】n.三角形驱病符，咒文;胡言乱语
abradant	【abradant】n.磨蚀物;adj.磨损的
abrade	【abrade】v.擦掉，擦伤
abrader	【abrader】n.磨石
abraham	【Abraham】n.[名]亚伯拉罕
abrahamman	【Abrahamman】n.[史]装癫乞丐
abranchial	【abranchial】adj.[动]无鳃的
abranchiate	【abranchiate】n.无鳃的动物
abrarion	【abrarion】n.磨损
abrase	【abrase】v.磨去;擦去
abraser	【abraser】n.磨石
abrasion	【abrasion】n.擦伤，磨灭;[地]磨损，剥蚀
abrasive	【abrasive】adj.磨擦的;n.金刚砂
abrator	【abrator】n.离心喷光机
abraxas	【abraxas】n.古时刻在玉石上避邪的文字
abreact	【abreact】vt.使发泄
abreaction	【abreaction】n.精神发泄治疗法
abreast	【abreast】adv.并行;并肩
abreast/with	【abreast&nbspwith】并进;并肩
abri	【abri】n.避难所;防空洞
abridgable	【abridgable】adj.[英]=abridgeable&nbsp可以删节的
abridge	【abridge】vt.摘要;缩短;削夺
abridgement	【abridgement】=abridgment
abridge/of	【abridge&nbspof】剥夺
abridgment	【abridgment】n.删节;缩短;删节本
abrim	【abrim】adj.adv.满满的
abroach	【abroach】adj.adv.酒桶开口(可使水流出)
abroad	【abroad】adv.在国外;到国外
abrogate	【abrogate】vt.取消，废除
abrogation	【abrogation】n.废除
abrupt	【abrupt】adj.突然的;粗暴的;陡的;[地]断裂的;[植]裂状的
abruption	【abruption】n.分裂;分离
abruptly	【abruptly】adv.突然间;唐突地
abruptness	【abruptness】n.突然;唐突
abs	【abs.】=absent;【ABS】n.&nbsp全称Anti-Lock&nbspBrake&nbspSystem防抱死刹车系统;n.全称Acrylonitrile&nbspButadiene&nbspStyrene&nbspCopolymer聚丙烯腈-丁二烯-苯乙烯共聚物&nbsp
absalom	【Absalom】n.[圣]押沙龙(犹太王大卫的三子，因背叛父王而被杀;旧约撤母耳记下18章)
abscess	【abscess】n.脓疮;溃伤
abscessed	【abscessed】adj.长脓疮的
abscind	【abscind】v.切断;割断;分开;割去
abscise	【abscise】n.[植]自然脱落;v.切除;割去
abscisin	【abscisin】n.脱落素;离层素
abscissa	【abscissa】(pl.-sas，-sae)n[数]横座标
abscissae	【abscissae】=abscissa
abscission	【abscission】n.切除;脱离;顿断法
absciss/layer	【absciss&nbsplayer】n.[植]离层
abscond	【abscond】vi.逃亡，潜逃
abscondee	【abscondee】n.潜逃者;逃亡者
abscondence	【abscondence】n.逃亡，失踪;出奔
abscond/with/the/money	【abscond&nbspwith&nbspthe&nbspmoney】n.卷款潜逃
abseil	【abseil】n.沿绳滑下法
absence	【absence】n.缺席;缺少
absence/of/minded	【absence&nbspof&nbspminded】n.心不在焉;发呆
absent	【absent】adj.缺席的;缺乏的;心不在焉的;漠不关心的;v.使缺席;擅自离开
absentation	【absentation】n.缺席
absentee	【absentee】n.缺席者
absenteeism	【absenteeism】n.矿课;矿工
absent/from	【absent&nbspfrom】缺席
absently	【absently】adv.心不在焉地;茫然地
absent/minded	【absent&nbspminded】adj.心不在焉的;茫然的;恍惚的
absent/mindedly	【absent&nbspmindedly】adv.心不在焉地;茫然地;恍惚地
absent/mindedness	【absent&nbspmindedness】n.心不在焉;心神不定;茫然
absent/over/leave	【absent&nbspover&nbspleave】逾假不归
absent/treatment	【absent&nbsptreatment】n.冷落;卖座少;视如不见
absent/without/leave	【absent&nbspwithout&nbspleave】擅离职守
absinth	【absinth】=absinthe
absinthe	【absinthe】n.苦艾酒;苦艾
absinthegreen	【absinthe-green】adj.淡绿色的
absinthin	【absinthin】n.苦艾素
absinthine	【absinthine】adj.像苦艾的
absinthism	【absinthism】n.苦艾酒中毒
absinthium	【absinthium】n.苦艾;苦艾油;晒乾的艾叶或艾花
abskize	【abskize】v.逃亡;逃脱
absolute	【absolute】adj.绝对的;完全的;专制的;确定的
absolute/altitude	【absolute&nbspaltitude】n.绝对高度
absolute/humidity	【absolute&nbsphumidity】n.绝对湿度
absolutely	【absolutely】adv.完全地;独裁地;绝对地
absolute/majority	【absolute&nbspmajority】n.绝对多数;过半数
absolute/monarchy	【absolute&nbspmonarchy】n.君主专制政体
absoluteness	【absoluteness】n.完全;专制;绝对
absolute/value	【absolute&nbspvalue】n.绝对值
absolution	【absolution】n.免除;赦免;解除责任
absolutism	【absolutism】n.专制主义;绝对主义
absolutist	【absolutist】n.专制主义者;绝对主义者
absolutization	【absolutization】n.绝对化
absolutize	【absolutize】v.使…变成绝对的;使…绝对化
absolutory	【absolutory】adj.给予赦免的;给予宽恕的
absolvable	【absolvable】adj.可赦免的
absolve	【absolve】v.赦免;解除
absolvent	【absolvent】n.赦免者;adj.赦免的
absonant	【absonant】adj.不合谐的;不合理的;悖理的
absorb	【absorb】vt.吸收;吞并
absorbability	【absorbability】n.吸收性
absorbable	【absorbable】adj.可被吸收的;易吸收的
absorbate	【absorbate】n.被收的物质
absorbed	【absorbed】adj.全神贯注的;一心一意的;被…所吸收的
absorbedly	【absorbedly】adv.入神地;全神贯注地
absorbefacient	【absorbefacient】n.[医]吸收剂;adj.吸收性的
absorbent	【absorbent】adj.吸收性的;有吸收力的
absorbent/cotton	【absorbent&nbspcotton】n.脱脂棉;药棉
absorbenting	【absorbenting】adj.引人注意的
absorber	【absorber】n.吸收者;吸收体;吸收器;吸收装置
absorberman	【absorberman】n.管理吸收器的人
absorbing	【absorbing】adj.吸收的;引人入胜
absorbingly	【absorbingly】adv.引人入胜地;非常有趣地
absorbing/well	【absorbing&nbspwell】n.吸收井
absorptance	【absorptance】n.吸收比
absorptiometer	【absorptiometer】n.吸收计;吸收测定器
absorption	【absorption】n.吸收;专心;合并
absorption/by	【absorption&nbspby】合并
absorption/coefficient	【absorption&nbspcoefficient】n.吸收系数;吸收率
absorption/in	【absorption&nbspin】凝神
absorption/into	【absorption&nbspinto】合并
absorptive	【absorptive】adj.吸收性的;有吸力的;并吞的
absorptivity	【absorptivity】n.吸收率;吸收性
absquatulate	【absquatulate】v.逃走;溜掉
absquatulater	【absquatulater】n.开小差;潜逃者
absquatulation	【absquatulation】n.开小差;潜逃
abstain	【abstain】vi.戒，禁烟;弃权
abstainer	【abstainer】n.戒酒的人;弃权者
abstemious	【abstemious】adj.有节制的;自制的
abstemiously	【abstemiously】adj.有节制地;适度地
abstention	【abstention】n.戒绝;弃权;克制
abstentious	【abstentious】adj.有节制的
absterge	【absterge】v.擦去;洗净;去垢;净化
abstergent	【abstergent】v.去污剂;洗涤剂;adj.洗净的;有去垢性的
abstersion	【abstersion】n.洗净;净化;去垢物
abstersive	【abstersive】adj.使洁净的;洗净的
abstinence	【abstinence】n.禁慾;戒酒
abstinency	【abstinency】n.禁慾;节制
abstinent	【abstinent】n.禁慾者;adj.禁慾的;有节制的
abstract	【abstract】adj.抽象的;理论上的;难解的;n.摘要;理论;抽象艺术;vt.摘要;偷窃;提炼;抽取
abstracted	【abstracted】adj.分离的;抽象的;被分出的
abstract/expressionism	【abstract&nbspexpressionism】n.抽象画派
abstraction	【abstraction】n.抽象;摘要;出神
abstractionism	【abstractionism】n.[美]抽象派;抽象主义
abstractionist	【abstractionist】n.[美]抽象派画家;理想家
abstractive	【abstractive】adj.抽象的;抽象性的;adv.抽象地;抽象性地
abstractly	【abstractly】adv.抽象地;理论上地
abstract/noun	【abstract&nbspnoun】n.抽象名词
abstract/number	【abstract&nbspnumber】n.[数]不名数
abstruse	【abstruse】adj.奥妙的;深奥的;难解的
abstrusely	【abstrusely】adj.深奥地;难解地
abstrusity	【abstrusity】n.深奥;难解
absurd	【absurd】adj.不合理的;无稽的;荒谬的
absurdism	【absurdism】n.荒谬主义
absurdist	【absurdist】n.荒谬主义者
absurdity	【absurdity】n.不合理;荒谬;可笑
absurdly	【absurdly】adv.不合理地;无稽地
absurdness	【absurdness】n.不合理;荒唐
abt/system	【Abt&nbspsystem】n.[铁路]阿卜特式
abulia	【abulia】n.意志力丧失
abuliding	【abuliding】adj.酝酿中的;兴建中的
a/bull/in/a/china/shop	【a&nbspbull&nbspin&nbspa&nbspchina&nbspshop】n.破坏情调的粗人;捣蛋鬼
a/bully/is/always/a/coward	【a&nbspbully&nbspis&nbspalways&nbspa&nbspcoward】n.横行霸道的人其实是胆小鬼
a/bully/never/grows/up	【a&nbspbully&nbspnever&nbspgrows&nbspup】n.霸道的人永远长不大
abundance	【abundance】n.丰富;富裕
abundant	【abundant】adj.丰富的;富裕的
a/burnt/child/dreads/the/fire	【a&nbspburnt&nbspchild&nbspdreads&nbspthe&nbspfire】n.烧伤的孩子见火怕
abusage	【abusage】n.不适当的言语;文字的滥用
abuse	【abuse】vt.滥用;虐待;咒骂;n.滥用;虐待;污蔑
abusive	【abusive】adj.骂人的;滥用的;虐待的
abusively	【abusively】adv.骂人地;滥用地;虐待地
abusiveness	【abusiveness】n.骂人;滥用;虐待
abustle	【abustle】adj.忙碌的;熙来攘往的
abut	【abut】v.邻接，靠近
abutilon	【abutilon】n.白麻;茼麻植物等
abutment	【abutment】n.邻接;接合;支柱;桥墩
abuttal	【abuttal】n.邻接;毗连;地界
abutter	【abutter】n.邻地业主;隔邻地主
abutting	【abutting】n.邻接的;毗连的
abuzz	【abuzz】adj.嘈杂的;嗡嗡叫的
abvolt	【abvolt】n.C.G.S.公制的势差单位
aby	【aby】v.赎(罪);偿;赔
abye	【abye】=aby
abysm	【abysm】n.深渊;无底洞;地狱;浑沌
abysmal	【abysmal】adj.深不可测的;地狱似的;无底的
abyss	【abyss】=abysm
abyssal	【abyssal】adj.深渊的;深海的;深不可测的
abyssalbenthic	【abyssalbenthic】adj.深海海底的
abyssalpelagic	【abyssalpelagic】adj.深海水域的
abyssinia	【Abyssinia】n.非洲阿比西尼亚
abyssinian	【Abyssinian】n.非洲阿比西尼亚人(语)
abyssobenthic	【abyssobenthic】=&nbspabyssalbenthic
abyss/of/despair，the	【abyss&nbspof&nbspdespair，the】绝望的深渊
abyssopelagic	【abyssopelagic】=&nbspabyssalpelagic
ac	【Ac】n.[化]锕;【ac-】pref.ad-之异体;【-ac】有…之特徵的;有关…的
acacia	【acacia】n.洋槐;刺槐;阿拉伯橡树
acacian	【Acacian】adj.东西基督教教会分裂的
academe	【academe】=academy
academia	【academia】n.学术界(环境);学术生活
academic	【academic】adj.学院的;学理上的;学术上的;研究院的;传统的;n.大学生;学者;pl.纸上谈兵
academical	【academical】adj.学术的;理论上的;学术上的;研究院的;传统的
academically	【academically】adv.学术上;学理上;理论上;学问上地;空论地
academicals	【academicals】n.普通学士;硕士;博士服
academic/costume	【academic&nbspcostume】n.大学礼服
academic/freedom	【academic&nbspfreedom】n.学术自由
academician	【academician】n.院士;学会会员;学士院会员;协会会员
academic/rank	【academic&nbsprank】n.大学教师的等级
academism	【academism】n.学院派;学院风气
academize	【academize】v.使…成为刻板传统的
academy	【academy】n.研究院;学会;学校
acadia	【Acadia】n.包括现在Nova&nbspScotia州的旧称
acadian	【Acadian】adj.阿克底亚的;阿克底亚人的
acajou	【acajou】n.桃花心木
acalculia	【acalculia】n.计圈缺失
acaleph	【acaleph】n.水母
acalephe	【acalephe】=acaleph
acalycine	【acalycine】adj.无花萼的
acalycinous	【acalycinous】=acalycine
acanth	【acanth-】pref.有刺的;刺状的
acantha	【acantha】n.脊椎;刺;鳍;鱼翅
acanthaster	【acanthaster】n.[动]刺冠海星
acanthoid	【acanthoid】adj.棘状的;刺状的
acanthopterygian	【acanthopterygian】n.棘鳍类的鱼;adj.棘鳍类的
acanthus	【acanthus】n.[植]爵床;莨苕;(柱头上的)爵床叶形的装饰
acapnia	【acapnia】n.血液二氧化碳缺乏
acardia	【acardia】n.[医]无心畸型
acardiac	【acardiac】adj.[医]无心畸型的
acariasis	【acariasis】n.疥癣;疥虫病
acaricide	【acaricide】n.杀虫剂
acarid	【acarid】n.壁蝨;恙虫
acaridan	【acaridan】adj.壁蝨类的
acaroid	【acaroid】adj.似壁蝨的
acarophobia	【acarophobia】n.[精神病学]恙虫恐怖
acarpellous	【acarpellous】adj.无心皮的
acarpelous	【acarpelous】=acarpellous
acarpous	【acarpous】adj.无果实的
acatalectic	【acatalectic】adj.诗行音节数完全的
a/cat/has/nine/lives	【a&nbspcat&nbsphas&nbspnine&nbsplives】n.猫有九条生命
a/cat/may/look/at/a/king	【a&nbspcat&nbspmay&nbsplook&nbspat&nbspa&nbspking】n.猫儿有权见龙颜
acaudal	【acaudal】adj.没有尾巴的
acaudate	【acaudate】=acaudal
acaulescent	【acaulescent】adj.[植]无茎的
accede	【accede】vi.依从;继承;同意;就任;参与
accelerando	【accelerando】n.[乐]渐速音;adj.adv.[乐]渐速(的，地)
accelerant	【accelerant】n.催化剂;触媒
accelerate	【accelerate】vt.加速;促进
accelerated	【accelerated】adj.早熟的
accelerated/motion	【accelerated&nbspmotion】n.加速运动
acceleration	【acceleration】n.加速度;促进
acceleration/centripetal	【acceleration&nbspcentripetal】n.向心加速度
acceleration/of/gravity	【acceleration&nbspof&nbspgravity】n.重力加速度
accelerative	【accelerative】adj.加速的;催促的;=acceleratory
accelerator	【accelerator】n.加速器;加速剂
accelerator/pedal	【accelerator&nbsppedal】n.油门
acceleratory	【acceleratory】adj.加速的;催促的
accelerograph	【accelerograph】n.爆炸压力计加速仪
accelerometer	【accelerometer】n.加速表
accent	【accent】n.重音，口音;vt.强调
accentor	【accentor】n.山鹨
accentual	【accentual】adj.强音的;有抑扬的
accentuate	【accentuate】v.重读;极力主张;强调
