#在注释中：支持使用 &nbsp 来定义空格，支持使用 <br> 来定义换行，而正常的空格被用于分词

# 一般词汇
匹夫	皓首匹夫，苍髯老贼。
百色	桂L
贵港	桂R
贺州	桂J
钦州	桂N
哈密	新L
奎屯	新D
南京	苏A
南通	苏F
宿迁	苏N
常州	苏D
徐州	苏C
扬州	苏K
无锡	苏B
泰州	苏M
淮安	苏H
盐城	苏J
苏州	苏E
镇江	苏L
上饶	赣E
九江	赣G
南昌	赣A
南昌	赣M
吉安	赣D
宜春	赣C
抚州	赣F
新余	赣K
萍乡	赣J
赣州	赣B
鹰潭	赣L
保定	冀F
唐山	冀B
廊坊	冀R
承德	冀H
沧州	冀J
沧州	冀S
衡水	冀T
邢台	冀E
邯郸	冀D
信阳	豫S
南阳	豫R
周口	豫P
商丘	豫N
安阳	豫E
开封	豫B
新乡	豫G
洛阳	豫C
济源	豫U
漯河	豫L
濮阳	豫J
焦作	豫H
许昌	豫K
郑州	豫A/V
鹤壁	豫F
东营	鲁E
临沂	鲁Q
威海	鲁K
德州	鲁N
日照	鲁L
枣庄	鲁D
泰安	鲁J
济南	鲁A
济宁	鲁H
淄博	鲁C
滨州	鲁M
潍坊	鲁G
潍坊	鲁V
烟台	鲁F
烟台	鲁Y
聊城	鲁P
莱芜	鲁S
菏泽	鲁R
青岛	鲁B
青岛	鲁U
丽水	浙K
台州	浙J
嘉兴	浙F
宁波	浙B
杭州	浙A
温州	浙C
湖州	浙E
绍兴	浙D
舟山	浙L
衢州	浙H
金华	浙G
三亚	琼B
海口	琼A
琼海	琼C
仙桃	鄂M
十堰	鄂C
咸宁	鄂L
天门	鄂R
孝感	鄂K
宜昌	鄂E
武汉	鄂A
潜江	鄂N
荆州	鄂D
荆门	鄂H
襄樊	鄂F
鄂州	鄂G
随州	鄂S
黄冈	鄂J
黄石	鄂B
娄底	湘K
岳阳	湘F
常德	湘J
怀化	湘N
株洲	湘B
永州	湘M
湘潭	湘C
益阳	湘H
衡阳	湘D
邵阳	湘E
郴州	湘L
长沙	湘A
兰州	甘A
天水	甘E
定西	甘J
平凉	甘L
庆阳	甘M
张掖	甘G
武威	甘H
白银	甘D
酒泉	甘F
金昌	甘C
陇南	甘K
三明	闽G
南平	闽H
厦门	闽D
宁德	闽J
泉州	闽C
漳州	闽E
福州	闽A
莆田	闽B
龙岩	闽F
山南	藏C
拉萨	藏A
林芝	藏G
安顺	贵G
贵阳	贵A
遵义	贵C
丹东	辽F
大连	辽B
抚顺	辽D
朝阳	辽N
本溪	辽E
沈阳	辽A
盘锦	辽L
营口	辽H
辽阳	辽K
铁岭	辽M
锦州	辽G
阜新	辽J
鞍山	辽C
咸阳	陕D
商洛	陕H
安康	陕G
宝鸡	陕C
延安	陕J
榆林	陕K
汉中	陕F
渭南	陕E
西安	陕A
西安	陕U
铜川	陕B
西宁	青A
崇明	沪R
思茅	云J
乌海	蒙C
包头	蒙B
赤峰	蒙D
通辽	蒙G
攀枝花	川D
石嘴山	宁B
马鞍山	皖E
南海区	粤Y
顺德区	粤X
防城港	桂P
吐鲁番	新K
石河子	新C
连云港	苏G
景德镇	赣H
张家口	冀G
石家庄	冀A
秦皇岛	冀C
三门峡	豫M
平顶山	豫D
驻马店	豫Q
五指山	琼D
张家界	湘G
嘉峪关	甘B
日喀则	藏D
六盘水	贵B
葫芦岛	辽P
万州	渝F
永川	渝C
涪陵	渝G
黔江	渝H
杨凌	陕V
伊春	黑F
大庆	黑E
绥化	黑M
鸡西	黑G
鹤岗	黑H
黑河	黑N
东川	云B
兴安盟	蒙F
乌鲁木齐	新A
克拉玛依	新J
和田地区	新R
喀什地区	新Q
塔城地区	新G
昌都	藏B
那曲	藏E
阿里	藏F
毕节	贵F
铜仁	贵D
海东	青B
七台河	黑K
佳木斯	黑D
双鸭山	黑J
哈尔滨	黑A
牡丹江	黑C
乌兰察布	蒙J
呼伦贝尔	蒙E
呼和浩特	蒙A
巴彦淖尔	蒙L
鄂尔多斯	蒙K
阿拉善盟	蒙M
阿克苏	新N
阿勒泰	新H
洋浦开	琼E
神农架	鄂P
齐齐哈尔	黑B
锡林郭勒盟	蒙H
松花江	黑L
大理	云L
楚雄	云E
迪庆	云R
凉山	川W
甘孜	川V
昌吉	新B
临夏	甘N
甘南	甘P
果洛	青F
海北	青C
海南	青E
玉树	青G
黄南	青D
大兴安岭	黑P
怒江	云Q
延边	吉H
长白	吉K
伊犁	新F
文山	云H
西双版纳	云K
阿坝	川U
博尔塔拉	新E
巴音郭愣	新M
德宏	云N
红河	云G
恩施	鄂Q
湘西	湘U
黔东南	贵H
黔南	贵J
海西	青H
克孜勒苏柯尔克孜	新P
黔西南	贵E

# 星座
♒	宝(水)瓶座
水瓶座	♒
宝瓶座	♒
♓	双鱼座
双鱼座	♓
♈	白羊座
白羊座	♈
♉	金牛座
金牛座	♉
♊	双子座
双子座	♊
♋	巨蟹座
巨蟹座	♋
♌	狮子座
狮子座	♌
♍	室(处)女座
处女座	♍
室女座	♍
♎	天秤座
天秤座	♎
♏	天蝎座
天蝎座	♏
♐	射手座
射手座	♐
♑	摩羯座
摩羯座	♑

# 八卦
☰	乾
乾	☰
☱	兑
兑	☱
☲	离
离	☲
☳	震
震	☳
☴	巽
巽	☴
☵	坎
坎	☵
☶	艮
艮	☶
☷	坤
坤	☷

# md语法提示
md甘特图	```mermaid<br>gantt<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbspdateFormat&nbsp&nbspYYYY-MM-DD<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsptitle&nbspAdding&nbspGANTT&nbspdiagram&nbspfunctionality&nbspto&nbspmermaid<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbspsection&nbsp现有任务<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp已完成&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp:done,&nbsp&nbsp&nbsp&nbspdes1,&nbsp2014-01-06,2014-01-08<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp进行中&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp:active,&nbsp&nbspdes2,&nbsp2014-01-09,&nbsp3d<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp计划中&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp:&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbspdes3,&nbspafter&nbspdes2,&nbsp5d<br>```
mdUML图	```mermaid<br>sequenceDiagram<br>张三&nbsp->>&nbsp李四:&nbsp你好！李四,&nbsp最近怎么样?<br>李四-->>王五:&nbsp你最近怎么样，王五？<br>李四--x&nbsp张三:&nbsp我很好，谢谢!<br>李四-x&nbsp王五:&nbsp我很好，谢谢!<br>Note&nbspright&nbspof&nbsp王五:&nbsp李四想了很长时间,&nbsp文字太长了<br/>不适合放在一行.<br>李四-->>张三:&nbsp打量着王五...<br>张三->>王五:&nbsp很好...&nbsp王五,&nbsp你怎么样?<br>```
mermaid流程图	```mermaid<br>graph&nbspLR<br>A[长方形]&nbsp--&nbsp链接&nbsp-->&nbspB((圆))<br>A&nbsp-->&nbspC(圆角长方形)<br>B&nbsp-->&nbspD{菱形}<br>C&nbsp-->&nbspD<br>```
flowchat流程图	```mermaid<br>flowchat<br>st=>start:&nbsp开始<br>e=>end:&nbsp结束<br>op=>operation:&nbsp我的操作<br>cond=>condition:&nbsp确认？<br>st->op->cond<br>cond(yes)->e<br>cond(no)->op<br>```
classDiagram图	```mermaid<br>classDiagram<br>&nbsp&nbsp&nbsp&nbspClass01&nbsp<|--&nbspAveryLongClass&nbsp:&nbspCool<br>&nbsp&nbsp&nbsp&nbsp<<interface>>&nbspClass01<br>&nbsp&nbsp&nbsp&nbspClass09&nbsp-->&nbspC2&nbsp:&nbspWhere&nbspam&nbspi?<br>&nbsp&nbsp&nbsp&nbspClass09&nbsp--*&nbspC3<br>&nbsp&nbsp&nbsp&nbspClass09&nbsp--|>&nbspClass07<br>&nbsp&nbsp&nbsp&nbspClass07&nbsp:&nbspequals()<br>&nbsp&nbsp&nbsp&nbspClass07&nbsp:&nbspObject[]&nbspelementData<br>&nbsp&nbsp&nbsp&nbspClass01&nbsp:&nbspsize()<br>&nbsp&nbsp&nbsp&nbspClass01&nbsp:&nbspint&nbspchimp<br>&nbsp&nbsp&nbsp&nbspClass01&nbsp:&nbspint&nbspgorilla<br>&nbsp&nbsp&nbsp&nbspclass&nbspClass10&nbsp{<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp>>service>><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbspint&nbspid<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbspsize()<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbspsize()<br>&nbsp&nbsp&nbsp&nbsp}<br>```
md表格	默认左对齐&nbsp|&nbsp居中对齐&nbsp|&nbsp右对齐<br>-|:-:|-:<br>1|a|3

# 特殊符号
ű	ȕ

# git命令注释
git&nbspswitch&nbsp	切换分支
git&nbspswitch&nbsp-c&nbsp	创建指定名称的分支

# 其它
奰唗	扇巴掌
